"","protein","orthogroup","Gene"
"3993","Q12277","S+LYT","YDL111C"
"3994","Q12280","S+LYT","YPL242C"
"3995","Q12283","S+LYT","YOR221C"
"3996","Q12284","S+LYT","YPR037C"
"3997","Q12285","S+LYT","YOL111C"
"3998","Q12287","S+LYT","YLL009C"
"3999","Q12288","S+LYT","YLR126C"
"4000","Q12289","S+LYT","YOR100C"
"4001","Q12291","S+LYT","YLR063W"
"4002","Q12296","S+LYT","YOL060C"
"4003","Q12297","S+LYT","YPL011C"
"4004","Q12298","S+LYT","YDR061W"
"4005","Q12300","S+LYT","YDL138W"
"4006","Q12303","S+LYT","YLR121C"
"4007","Q12305","S+LYT","YOR285W"
"4008","Q12306","S+LYT","YDR510W"
"4009","Q12308","S+LYT","YPL007C"
"4010","Q12309","S+LYT","YLR117C"
"4011","Q12311","S+LYT","YPR031W"
"4012","Q12314","S+LYT","YOR021C"
"4013","Q12315","S+LYT","YDL207W"
"4014","Q12317","S+LYT","YOL112W"
"4015","Q12320","S+LYT","YOR040W"
"4016","Q12321","S+LYT","YPR070W"
"4017","Q12322","S+LYT","YOL114C"
"4018","Q12324","S+LYT","YOR087W"
"4019","Q12325","S+LYT","YLR092W"
"4020","Q12328","S+LYT","YDL217C"
"4021","Q12329","S+LYT","YDR171W"
"4022","Q12330","S+LYT","YOR159C"
"4023","Q12331","S+LYT","YDR262W"
"4024","Q12333","S+LYT","YOL152W"
"4025","Q12334","S+LYT","YDL139C"
"4026","Q12335","S+LYT","YDR032C"
"4027","Q12339","S+LYT","YOR004W"
"4028","Q12341","S+LYT","YPL001W"
"4029","Q12342","S+LYT","YDL146W"
"4030","Q12343","S+LYT","YOR174W"
"4031","Q12344","S+LYT","YPL249C"
"4032","Q12347","S+LYT","YLR097C"
"4033","Q12349","S+LYT","YLR295C"
"4034","Q12350","S+LYT","YPR061C"
"4035","Q12354","S+LYT","YLR118C"
"4036","Q12355","S+LYT","YDR055W"
"4037","Q12358","S+LYT","YLL057C"
"4038","Q12359","S+LYT","YDR384C"
"4039","Q12361","S+LYT","YDL035C"
"4040","Q12362","S+LYT","YOL066C"
"4041","Q12367","S+LYT","YLR137W"
"4042","Q12368","S+LYT","YDL098C"
"4043","Q12374","S+LYT","YPR155C"
"4044","Q12375","S+LYT","YOR130C"
"4045","Q12377","S+LYT","YDL097C"
"4046","Q12378","S+LYT","YDR066C"
"4047","Q12380","S+LYT","YPL149W"
"4048","Q12382","S+LYT","YOR311C"
"4049","Q12383","S+LYT","YOL125W"
"4050","Q12386","S+LYT","YOR141C"
"4051","Q12387","S+LYT","YOL076W"
"4052","Q12389","S+LYT","YDL031W"
"4053","Q12395","S+LYT","YLR128W"
"4054","Q12396","S+LYT","YLR080W"
"4055","Q12398","S+LYT","YOR032C"
"4056","Q12400","S+LYT","YOL093W"
"4057","Q12402","S+LYT","YPR028W"
"4058","Q12404","S+LYT","YOR288C"
"4059","Q12405","S+LYT","YOR084W"
"4060","Q12408","S+LYT","YDL046W"
"4061","Q12412","S+LYT","YOR161C"
"4062","Q12415","S+LYT","YOR110W"
"4063","Q12416","S+LYT","YOR083W"
"4064","Q12417","S+LYT","YPL151C"
"4065","Q12424","S+LYT","YDL206W"
"4066","Q12425","S+LYT","YPR067W"
"4067","Q12427","S+LYT","YDR169C"
"4068","Q12428","S+LYT","YPR002W"
"4069","Q12429","S+LYT","YLR143W"
"4070","Q12431","S+LYT","YLL014W"
"4071","Q12432","S+LYT","YPR023C"
"4072","Q12433","S+LYT","YOR023C"
"4073","Q12434","S+LYT","YDL135C"
"4074","Q12436","S+LYT","YLR130C"
"4075","Q12438","S+LYT","YDL010W"
"4076","Q12440","S+LYT","YLR127C"
"4077","Q12442","S+LYT","YOL002C"
"4078","Q12443","S+LYT","YDL204W"
"4079","Q12446","S+LYT","YOR181W"
"4080","Q12447","S+LYT","YDR071C"
"4081","Q12449","S+LYT","YDR214W"
"4082","Q12450","S+LYT","YOR016C"
"4083","Q12451","S+LYT","YDL019C"
"4084","Q12452","S+LYT","YLR100W"
"4085","Q12453","S+LYT","YOR112W"
"4086","Q12454","S+LYT","YDR067C"
"4087","Q12457","S+LYT","YDR026C"
"4088","Q12458","S+LYT","YDR368W"
"4089","Q12460","S+LYT","YLR197W"
"4090","Q12461","S+LYT","YPL152W"
"4091","Q12462","S+LYT","YOL147C"
"4092","Q12463","S+LYT","YOL124C"
"4093","Q12464","S+LYT","YPL235W"
"4094","Q12465","S+LYT","YLR084C"
"4095","Q12466","S+LYT","YOR086C"
"4096","Q12468","S+LYT","YDL216C"
"4097","Q12469","S+LYT","YOL113W"
"4098","Q12473","S+LYT","YLL051C"
"4099","Q12476","S+LYT","YDL175C"
"4100","Q12480","S+LYT","YPR004C"
"4101","Q12481","S+LYT","YOR287C"
"4102","Q12482","S+LYT","YPR021C"
"4103","Q12483","S+LYT","YPL002C"
"4104","Q12486","S+LYT","YOR131C"
"4105","Q12487","S+LYT","YOR150W"
"4106","Q12488","S+LYT","YDR013W"
"4107","Q12489","S+LYT","YDL012C"
"4108","Q12494","S+LYT","YDR017C"
"4109","Q12495","S+LYT","YPR018W"
"4110","Q12496","S+LYT","YOL098C"
"4111","Q12499","S+LYT","YOR310C"
"4112","Q12500","S+LYT","YLR114C"
"4113","Q12502","S+LYT","YOR322C"
"4114","Q12504","S+LYT","YDR257C"
"4115","Q12505","S+LYT","YPL026C"
"4116","Q12508","S+LYT","YDR255C"
"4117","Q12509","S+LYT","YLR085C"
"4118","Q12510","S+LYT","YDL156W"
"4119","Q12511","S+LYT","YOR090C"
"4120","Q12514","S+LYT","YPR072W"
"4121","Q12516","S+LYT","YDL133W"
"4122","Q12517","S+LYT","YOL149W"
"4123","Q12518","S+LYT","YDL161W"
"4124","Q12520","S+LYT","YPL244C"
"4125","Q12522","S+LYT","YPR016C"
"4126","Q12523","S+LYT","YPL247C"
"4127","Q12524","S+LYT","YLR151C"
"4128","Q12525","S+LYT","YLL062C"
"4129","Q12527","S+LYT","YPR049C"
"4130","Q12529","S+LYT","YPL165C"
"4131","Q12530","S+LYT","YLR145W"
"4132","Q12531","S+LYT","YPR015C"
"4133","Q12532","S+LYT","YPL009C"
"4134","Q12672","S+LYT","YPL079W"
"4135","Q12674","S+LYT","YMR162C"
"4136","Q12675","S+LYT","YDR093W"
"4137","Q12676","S+LYT","YMR113W"
"4138","Q12680","S+LYT","YDL171C"
"4139","Q12690","S+LYT","YDL082W"
"4140","Q12691","S+LYT","YDR038C"
"4141","Q12692","S+LYT","YOL012C"
"4142","Q12697","S+LYT","YOR291W"
"4143","Q12743","S+LYT","YDR411C"
"4144","Q12749","S+LYT","YLR383W"
"4145","Q12751","S+LYT","YMR185W"
"4146","Q12754","S+LYT","YPL012W"
"4147","Q2V2P4","S+LYT","YIL156W-B"
"4148","Q2V2P5","S+LYT","YIL102C-A"
"4149","Q3E705","S+LYT","YGR271C-A"
"4150","Q3E731","S+LYT","YLL018C-A"
"4151","Q3E747","S+LYT","YLR363W-A"
"4152","Q3E754","S+LYT","YJL136C"
"4153","Q3E756","S+LYT","YBL029C-A"
"4154","Q3E757","S+LYT","YGR085C"
"4155","Q3E764","S+LYT","YLR262C-A"
"4156","Q3E784","S+LYT","YER180C-A"
"4157","Q3E785","S+LYT","YDR379C-A"
"4158","Q3E792","S+LYT","YGR027C"
"4159","Q3E793","S+LYT","YAL044W-A"
"4160","Q3E798","S+LYT","YLR099W-A"
"4161","Q3E7A4","S+LYT","YBL059C-A"
"4162","Q3E7A8","S+LYT","YNL162W-A"
"4163","Q3E7A9","S+LYT","YMR194C-B"
"4164","Q3E7B2","S+LYT","YJL062W-A"
"4165","Q3E7B6","S+LYT","YCL005W-A"
"4166","Q3E7C1","S+LYT","YDR079C-A"
"4167","Q3E7X9","S+LYT","YOR167C"
"4168","Q3E7Y3","S+LYT","YLR367W"
"4169","Q3E811","S+LYT","YLR162W-A"
"4170","Q3E828","S+LYT","YJL127C-B"
"4171","Q3E833","S+LYT","YKR095W-A"
"4172","Q3E834","S+LYT","YER074W-A"
"4173","Q3E835","S+LYT","YOL086W-A"
"4174","Q3E840","S+LYT","YBL071W-A"
"4175","Q3E846","S+LYT","YMR244C-A"
"4176","Q6Q546","S+LYT","YNR032C-A"
"4177","Q6Q547","S+LYT","YHR072W-A"
"4178","Q6Q560","S+LYT","YER048W-A"
"4179","Q6Q595","S+LYT","YBL091C-A"
"4180","Q6WNK7","S+LYT","YBR111W-A"
"4181","Q7LHG5","S+LYT","YIL082W-A"
"4182","Q86ZR7","S+LYT","YKL033W-A"
"4183","Q8J0M4","S+LYT","YCL012C"
"4184","Q8TGJ3","S+LYT","YNL024C-A"
"4185","Q92317","S+LYT","YDR397C"
"4186","Q92328","S+LYT","YOL009C"
"4187","Q92331","S+LYT","YOR069W"
"4188","Q96VH2","S+LYT","YCL001W-B"
"4189","Q96VH4","S+LYT","YCL026C-B"
"4190","Q96VH5","S+LYT","YCL057C-A"
"4191","Q99181","S+LYT","YOR319W"
"4192","Q99186","S+LYT","YOL062C"
"4193","Q99189","S+LYT","YOR160W"
"4194","Q99190","S+LYT","YDL015C"
"4195","Q99207","S+LYT","YDL148C"
"4196","Q99210","S+LYT","YOR111W"
"4197","Q99216","S+LYT","YOR145C"
"4198","Q99219","S+LYT","YIL082W"
"4199","Q99220","S+LYT","YDR057W"
"4200","Q99222","S+LYT","YOR129C"
"4201","Q99247","S+LYT","YOL087C"
"4202","Q99252","S+LYT","YOR092W"
"4203","Q99257","S+LYT","YPL169C"
"4204","Q99258","S+LYT","YDR487C"
"4205","Q99260","S+LYT","YLR262C"
"4206","Q99271","S+LYT","YLR138W"
"4207","Q99278","S+LYT","YMR112C"
"4208","Q99287","S+LYT","YOR165W"
"4209","Q99288","S+LYT","YDR051C"
"4210","Q99296","S+LYT","YLR149C"
"4211","Q99297","S+LYT","YOR222W"
"4212","Q99312","S+LYT","YOR155C"
"4213","Q99315","S+LYT","YGR109W-B"
"4214","Q99321","S+LYT","YOR163W"
"4215","Q99326","S+LYT","YOR338W"
"4216","Q99344","S+LYT","YPR066W"
"4217","Q99369","S+LYT","YOR280C"
"4218","Q99383","S+LYT","YOL123W"
"4219","Q99385","S+LYT","YDL128W"
"4220","Q99394","S+LYT","YOR115C"
"4221","Q9P305","S+LYT","YHR132W-A"
"4222","Q9URQ3","S+LYT","YLR316C"
"4223","Q9ZZX0","S+LYT","Q0075"
